[Time:       18] [Episode:       38 Length       92 Score:    -1.3452] [RScore:    -1.7757 RPPS:   129] [PPS:   130 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       18] [Episode:       39 Length      112 Score:    -4.9818] [RScore:    -1.8579 RPPS:   132] [PPS:   133 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       18] [Episode:       40 Length       29 Score:     0.8191] [RScore:    -1.7910 RPPS:   132] [PPS:   133 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       18] [Episode:       41 Length      111 Score:     0.0765] [RScore:    -1.7455 RPPS:   137] [PPS:   138 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       19] [Episode:       42 Length      122 Score:     0.2505] [RScore:    -1.6979 RPPS:   140] [PPS:   141 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       19] [Episode:       43 Length      106 Score:    -2.5890] [RScore:    -1.7187 RPPS:   145] [PPS:   146 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       19] [Episode:       44 Length      113 Score:    -2.9594] [RScore:    -1.7469 RPPS:   150] [PPS:   151 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       19] [Episode:       45 Length      110 Score:     1.3062] [RScore:    -1.6790 RPPS:   155] [PPS:   156 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       19] [Episode:       46 Length      110 Score:    -0.0141] [RScore:    -1.6428 RPPS:   160] [PPS:   161 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       19] [Episode:       47 Length      113 Score:    -1.3115] [RScore:    -1.6358 RPPS:   164] [PPS:   165 TPS:    56] [NT:  4 NP:  4 NA: 64]
[Time:       20] [Episode:       48 Length      117 Score:     2.1473] [RScore:    -1.5570 RPPS:   166] [PPS:   167 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       20] [Episode:       49 Length       52 Score:    -0.9657] [RScore:    -1.5449 RPPS:   165] [PPS:   166 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       21] [Episode:       50 Length       65 Score:    -2.7004] [RScore:    -1.5680 RPPS:   165] [PPS:   166 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       21] [Episode:       51 Length      143 Score:     3.5003] [RScore:    -1.4686 RPPS:   168] [PPS:   169 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       21] [Episode:       52 Length       35 Score:     0.2948] [RScore:    -1.4347 RPPS:   169] [PPS:   170 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       21] [Episode:       53 Length      129 Score:     2.6870] [RScore:    -1.3569 RPPS:   174] [PPS:   175 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       22] [Episode:       54 Length       39 Score:     0.8290] [RScore:    -1.3165 RPPS:   173] [PPS:   174 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       22] [Episode:       55 Length      142 Score:    -0.5097] [RScore:    -1.3018 RPPS:   178] [PPS:   179 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       22] [Episode:       56 Length       48 Score:    -1.0063] [RScore:    -1.2965 RPPS:   180] [PPS:   181 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       22] [Episode:       57 Length      111 Score:    -1.3752] [RScore:    -1.2979 RPPS:   183] [PPS:   184 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       22] [Episode:       58 Length       21 Score:    -0.3712] [RScore:    -1.2819 RPPS:   183] [PPS:   184 TPS:    57] [NT:  4 NP:  4 NA: 64]
[Time:       23] [Episode:       59 Length       78 Score:     0.9006] [RScore:    -1.2449 RPPS:   183] [PPS:   184 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       23] [Episode:       60 Length      138 Score:     4.4079] [RScore:    -1.1507 RPPS:   185] [PPS:   186 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       23] [Episode:       61 Length       11 Score:    -0.1037] [RScore:    -1.1335 RPPS:   184] [PPS:   185 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       23] [Episode:       62 Length      138 Score:     3.3765] [RScore:    -1.0608 RPPS:   190] [PPS:   191 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       24] [Episode:       63 Length      131 Score:    -3.3274] [RScore:    -1.0968 RPPS:   193] [PPS:   194 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       24] [Episode:       64 Length       26 Score:    -0.2856] [RScore:    -1.0841 RPPS:   193] [PPS:   194 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       24] [Episode:       65 Length      144 Score:    -3.0526] [RScore:    -1.1144 RPPS:   196] [PPS:   197 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       25] [Episode:       66 Length      150 Score:     4.2815] [RScore:    -1.0326 RPPS:   198] [PPS:   199 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       25] [Episode:       67 Length      142 Score:     3.7611] [RScore:    -0.9611 RPPS:   200] [PPS:   201 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       25] [Episode:       68 Length      155 Score:    -5.4716] [RScore:    -1.0274 RPPS:   205] [PPS:   206 TPS:    58] [NT:  4 NP:  4 NA: 64]
[Time:       25] [Episode:       69 Length       94 Score:     1.7052] [RScore:    -0.9878 RPPS:   208] [PPS:   209 TPS:    58] [NT:  4 NP:  4 NA: 64]
