[Time:       25] [Episode:   156039 Length       60 Score:   107.1291] [RScore:   106.5327 RPPS:   130] [PPS:   131 TPS:    50] [NT:  4 NP:  4 NA: 64]
[Time:       26] [Episode:   156040 Length      150 Score:   119.3861] [RScore:   106.8541 RPPS:   132] [PPS:   133 TPS:    50] [NT:  4 NP:  4 NA: 64]
[Time:       27] [Episode:   156041 Length      122 Score:   116.6413] [RScore:   107.0928 RPPS:   134] [PPS:   135 TPS:    51] [NT:  4 NP:  4 NA: 64]
[Time:       29] [Episode:   156042 Length       66 Score:   107.3097] [RScore:   107.0979 RPPS:   127] [PPS:   128 TPS:    51] [NT:  4 NP:  4 NA: 64]
[Time:       29] [Episode:   156043 Length       74 Score:   109.2726] [RScore:   107.1485 RPPS:   126] [PPS:   127 TPS:    51] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:   156044 Length       92 Score:   113.8839] [RScore:   107.3016 RPPS:   128] [PPS:   129 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:   156045 Length      164 Score:   107.0761] [RScore:   107.2966 RPPS:   132] [PPS:   133 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:   156046 Length      166 Score:   121.7803] [RScore:   107.6114 RPPS:   138] [PPS:   139 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:   156047 Length      165 Score:   115.9556] [RScore:   107.7890 RPPS:   142] [PPS:   143 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:   156048 Length       81 Score:   107.3798] [RScore:   107.7804 RPPS:   139] [PPS:   140 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       31] [Episode:   156049 Length       81 Score:   112.3117] [RScore:   107.8729 RPPS:   141] [PPS:   142 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:   156050 Length      104 Score:   107.2263] [RScore:   107.8600 RPPS:   143] [PPS:   144 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:   156051 Length      172 Score:   -21.6087] [RScore:   105.3214 RPPS:   146] [PPS:   147 TPS:    52] [NT:  4 NP:  4 NA: 64]
[Time:       32] [Episode:   156052 Length       90 Score:   109.0557] [RScore:   105.3932 RPPS:   149] [PPS:   150 TPS:    52] [NT:  4 NP:  4 NA: 64]
