[Time:       25] [Episode:   240039 Length       84 Score:    61.0000] [RScore:    54.2821 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       26] [Episode:   240040 Length       92 Score:    53.0000] [RScore:    54.2500 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       27] [Episode:   240041 Length       52 Score:    34.0000] [RScore:    53.7561 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       27] [Episode:   240042 Length        1 Score:    -1.0000] [RScore:    52.4524 RPPS:   126] [PPS:   127 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       27] [Episode:   240043 Length       64 Score:    33.0000] [RScore:    52.0000 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       28] [Episode:   240044 Length       66 Score:    40.0000] [RScore:    51.7273 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       28] [Episode:   240045 Length       39 Score:    24.0000] [RScore:    51.1111 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       29] [Episode:   240046 Length       70 Score:    16.0000] [RScore:    50.3478 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       29] [Episode:   240047 Length      101 Score:    67.0000] [RScore:    50.7021 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       30] [Episode:   240048 Length       95 Score:    71.0000] [RScore:    51.1250 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       30] [Episode:   240049 Length       38 Score:    24.0000] [RScore:    50.5714 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       31] [Episode:   240050 Length       84 Score:    62.0000] [RScore:    50.8000 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       32] [Episode:   240051 Length       87 Score:    61.0000] [RScore:    51.0000 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       33] [Episode:   240052 Length      120 Score:    93.0000] [RScore:    51.8077 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       33] [Episode:   240053 Length      105 Score:    78.0000] [RScore:    52.3019 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       34] [Episode:   240054 Length       77 Score:    45.0000] [RScore:    52.1667 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       35] [Episode:   240055 Length      104 Score:    27.0000] [RScore:    51.7091 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
[Time:       35] [Episode:   240056 Length       46 Score:    31.0000] [RScore:    51.3393 RPPS:   127] [PPS:   128 TPS:     0] [NT:  1 NP:  1 NA:  1]
